belief_text,label,explanation,risk
Balanced lifestyle improves health,1,Healthy habits support wellbeing,Low
Drinking tea cures headaches,0,Tea may relieve but not cure causes,Medium
Adequate sleep improves memory,1,Sleep strengthens memory,Low
Vaccines weaken immunity,0,Vaccines strengthen immunity,High
Healthy food reduces obesity,1,Nutritious food controls weight,Low
Skipping water helps weight loss,0,Dehydration harms the body,High
Walking improves blood circulation,1,Movement enhances circulation,Low
Herbal drinks cure kidney failure,0,Kidney failure requires medical care,High
Healthy habits prevent lifestyle diseases,1,Prevention reduces disease risk,Low
Stress causes cancer,0,Stress alone does not cause cancer,Medium
Positive mindset improves recovery,1,Mental health supports recovery,Low
Applying lemon cures acne,0,Lemon can irritate skin,Medium
Balanced diet improves immunity,1,Nutrition strengthens immune system,Low
Skipping medicines improves healing,0,Skipping medicines delays recovery,High
Regular health checkups save lives,1,Early detection improves survival,Low
Homeopathy cures all diseases,0,No evidence supports universal cure,High
Healthy lifestyle prevents chronic illness,1,Lifestyle choices reduce chronic diseases,Low
